@relation InstanceResultListener

@attribute Key_Dataset {'census-chborn-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,32'}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.RandomForest}
@attribute Key_Scheme_options {'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-P 50 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -B','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 10','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 20','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 30','-P 100 -I 100 -num-slots 1 -K 5 -M 1.0 -V 0.001 -S 1','-P 100 -I 100 -num-slots 1 -K 10 -M 1.0 -V 0.001 -S 1','-P 100 -I 100 -num-slots 1 -K 20 -M 1.0 -V 0.001 -S 1','-P 100 -I 10 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-P 100 -I 25 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-P 100 -I 1 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-P 5 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 3','-P 100 -I 100 -num-slots 1 -K 60 -M 1.0 -V 0.001 -S 1'}
@attribute Key_Scheme_version_ID {1116839470751428698}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

'census-chborn-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,32',1,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20161130.1635,6736,749,669,80,0,89.319092,10.680908,0,0.824252,0.06201,0.159916,29.406722,49.245602,1300.093363,371.963431,928.129933,1.735772,0.496613,1.239159,937.434667,1.251582,54030.657688,1,291,0.002183,1,0.997817,457,0,0,0.996575,1,0.998285,0.997196,1,1,0.893191,0.058381,0.941619,0.106809,0.850683,0.893191,0.869002,0.836943,0.985179,0.91422,0.494961,0.893191,6.001,0.243,4.984375,0.234375,4984.375,234.375,70728652,3508953,413674,98.798398,38.161994,?,-1
'census-chborn-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,32',1,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20161130.1635,6736,749,668,81,0,89.185581,10.814419,0,0.822848,0.05913,0.157095,28.042972,48.381617,1298.635439,340.896846,957.738593,1.733826,0.455136,1.27869,962.175628,1.284614,55449.725433,1,291,0,0,1,458,0,0,1,1,1,1,1,1,0.891856,0.057544,0.942456,0.108144,0.854914,0.891856,0.870552,0.836082,0.987558,0.919951,0.505047,0.891856,5.331,0.137,4.546875,0.140625,4546.875,140.625,67074715,3508953,413674,99.465955,35.580774,?,-1
'census-chborn-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,32',1,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20161130.1635,6736,749,673,76,0,89.853138,10.146862,0,0.833883,0.059477,0.158046,28.207839,48.674451,1298.635439,369.653438,928.982001,1.733826,0.493529,1.240296,942.296795,1.258073,54304.117717,1,291,0,0,1,458,0,0,1,1,1,1,1,1,0.898531,0.054142,0.945858,0.101469,0.860425,0.898531,0.876431,0.845376,0.984106,0.918462,0.511046,0.898531,5.064,0.163,4.8125,0.15625,4812.5,156.25,67683969,3508953,413674,98.664887,36.381842,?,-1
'census-chborn-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,32',1,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20161130.1635,6736,749,663,86,0,88.518024,11.481976,0,0.811077,0.060669,0.161611,28.773041,49.772308,1298.635439,358.819585,939.815855,1.733826,0.479065,1.254761,948.811577,1.266771,54679.561516,1,291,0,0,1,458,0,0,1,1,1,1,1,1,0.88518,0.062197,0.937803,0.11482,0.841897,0.88518,0.859598,0.824003,0.984486,0.908049,0.478301,0.88518,5.811,0.176,5.09375,0.1875,5093.75,187.5,67789680,3508953,413674,99.332443,36.070316,?,-1
'census-chborn-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,32',1,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20161130.1635,6736,749,667,82,0,89.052069,10.947931,0,0.820739,0.060921,0.161289,28.896429,49.680542,1298.397354,362.51761,935.879744,1.733508,0.484002,1.249506,946.711534,1.263967,54557.426959,1,290,0,0,1,459,0,0,1,1,1,1,1,1,0.890521,0.05887,0.94113,0.109479,0.857607,0.890521,0.870491,0.834594,0.984588,0.911369,0.503949,0.890521,4.434,0.142,4.21875,0.140625,4218.75,140.625,67718849,3508953,413674,98.931909,35.692034,?,-1
'census-chborn-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,32',1,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20161130.1636,6737,748,663,85,0,88.636364,11.363636,0,0.812372,0.05745,0.161298,27.263719,49.712135,1295.505542,359.972861,935.532681,1.731959,0.481247,1.250712,950.4318,1.270631,54766.411451,1,290,0,0,1,458,0,0,1,1,1,1,1,1,0.886364,0.066727,0.933273,0.113636,0.854442,0.886364,0.862907,0.825437,0.982896,0.912741,0.504303,0.886364,4.627,0.175,4.453125,0.171875,4453.125,171.875,65678577,3509470,413157,98.796791,33.355615,?,-1
'census-chborn-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,32',1,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20161130.1636,6737,748,662,86,0,88.502674,11.497326,0,0.81006,0.062699,0.166407,29.755105,51.286727,1295.505542,408.784968,886.720574,1.731959,0.546504,1.185455,913.032424,1.220632,52611.359836,1,290,0,0,1,458,0,0,1,1,1,1,1,1,0.885027,0.065977,0.934023,0.114973,0.84364,0.885027,0.861514,0.822993,0.977763,0.902044,0.486061,0.885027,4.783,0.145,4.671875,0.140625,4671.875,140.625,65817667,3509470,413157,98.128342,36.207665,?,-1
'census-chborn-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,32',1,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20161130.1636,6737,748,666,82,0,89.037433,10.962567,0,0.818417,0.062477,0.162411,29.649437,50.055026,1295.505542,382.705609,912.799933,1.731959,0.511639,1.220321,919.743837,1.229604,52998.089303,1,290,0,0,1,458,0,0,1,1,1,1,1,1,0.890374,0.065677,0.934323,0.109626,0.847878,0.890374,0.865753,0.829711,0.983141,0.902923,0.495476,0.890374,5.991,0.203,5.9375,0.203125,5937.5,203.125,70055175,3509470,413157,98.663102,37.655971,?,-1
'census-chborn-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,32',1,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20161130.1636,6737,748,674,74,0,90.106952,9.893048,0,0.836779,0.060371,0.156336,28.650139,48.182757,1295.505542,350.565829,944.939712,1.731959,0.468671,1.263288,948.22344,1.267678,54639.1599,1,290,0,0,1,458,0,0,1,1,1,1,1,1,0.90107,0.059631,0.940369,0.09893,0.885632,0.90107,0.879449,0.851226,0.987355,0.923388,0.543512,0.90107,5.021,0.175,4.90625,0.171875,4906.25,171.875,67339118,3509470,413157,99.064171,37.254902,?,-1
