Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureOutOfBagError
census-chborn-40,1,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 5 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.01612012251E7,6736.0,749.0,743.0,6.0,0.0,99.19893190921228,0.8010680907877169,0.0,0.9872918740385486,0.026164029657717174,0.07785179779677301,12.407563070780695,23.97426975595489,1300.0933633458096,108.9515703437101,1191.1417930020996,1.7357721807020154,0.14546271073926584,1.5903094699627498,1191.141793002096,1.590309469962745,68653.50382180944,1.0,291.0,0.0,0.0,1.0,458.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9919893190921228,0.00461985669027828,0.9953801433097218,0.00801068090787717,0.9918939862693498,0.9919893190921228,0.9916896085392066,0.989399594347592,0.9999497461986444,0.9986306159472493,0.956411182043877,0.9919893190921228,0.81,0.017,0.79,0.02,790.0,20.0,1.5831967E7,3508737.0,413458.0,100.0,28.749443702714743,?,-1.0
census-chborn-40,1,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 5 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.01612012251E7,6736.0,749.0,747.0,2.0,0.0,99.73297730307075,0.26702269692923897,0.0,0.9957747948744707,0.02447519594386062,0.0722198577425792,11.607632668205923,22.241979827830775,1298.6354393475049,99.37733710445603,1199.2581022430488,1.7338256867122896,0.13268002283638988,1.6011456638758996,1199.3005583385675,1.601202347581532,69115.12279244886,1.0,291.0,0.0,0.0,1.0,458.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9973297730307076,0.0012214957172653038,0.9987785042827347,0.0026702269692923898,0.9973588563103115,0.9973297730307076,0.9973088875866689,0.996666638499806,0.9999963471587288,0.9998664886515354,0.9911243796255296,0.9973297730307076,0.746,0.015,0.73,0.02,730.0,20.0,1.5766332E7,3508737.0,413458.0,100.0,28.704939919893235,?,-1.0
census-chborn-40,1,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 5 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.01612012251E7,6736.0,749.0,742.0,7.0,0.0,99.06542056074767,0.9345794392523364,0.0,0.9851785052990448,0.024182799863148894,0.07233790388124926,11.468960589489587,22.27833520039896,1298.6354393475049,99.2419923803867,1199.393446967118,1.7338256867122896,0.13249932227020922,1.60132636444208,1199.393446967109,1.601326364442068,69120.475920089,1.0,291.0,0.0,0.0,1.0,458.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9906542056074766,0.0037640938967049534,0.9962359061032952,0.009345794392523364,0.9910704956505155,0.9906542056074766,0.9900275357709143,0.9884938065597415,0.9999852104475359,0.9995861363191716,0.9389326917893148,0.9906542056074766,0.748,0.015,0.74,0.02,740.0,20.0,1.566033E7,3508737.0,413458.0,100.0,28.79394748553627,?,-1.0
census-chborn-40,1,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 5 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.01612012251E7,6736.0,749.0,743.0,6.0,0.0,99.19893190921228,0.8010680907877169,0.0,0.9872898972501042,0.025282943575841946,0.07402634457002144,11.990715926136053,22.79833433794944,1298.6354393475049,103.46220997926811,1195.1732293682367,1.7338256867122896,0.13813379169461698,1.5956918950176724,1195.1732293682273,1.59569189501766,68877.26677995348,1.0,291.0,0.0,0.0,1.0,458.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9919893190921228,0.004686769379243132,0.9953132306207569,0.00801068090787717,0.992101440084944,0.9919893190921228,0.9918690261006238,0.9894659207767779,0.9999599759738546,0.9994241957269306,0.9700316302231486,0.9919893190921228,0.869,0.014,0.83,0.02,830.0,20.0,1.6349633E7,3508737.0,413458.0,100.0,29.016466399643992,?,-1.0
census-chborn-40,1,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 5 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.01612012251E7,6736.0,749.0,743.0,6.0,0.0,99.19893190921228,0.8010680907877169,0.0,0.9873185543039033,0.027198924971311066,0.07865381324773074,12.901075493478643,24.227041489012134,1298.397353577193,114.85395052303765,1183.5434030541553,1.7335078151898438,0.15334305810819446,1.5801647570816493,1183.5434030541526,1.5801647570816457,68205.65763823914,1.0,290.0,0.0,0.0,1.0,459.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9919893190921228,0.0015957485795583676,0.9984042514204416,0.00801068090787717,0.9922082055244101,0.9919893190921228,0.9919513594465081,0.9910559824440348,0.9999075691775311,0.9983476488414585,0.9681441517371572,0.9919893190921228,0.827,0.014,0.81,0.02,810.0,20.0,1.5844311E7,3508737.0,413458.0,100.0,29.038718291054735,?,-1.0
census-chborn-40,1,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 5 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.01612012251E7,6737.0,748.0,741.0,7.0,0.0,99.06417112299465,0.9358288770053476,0.0,0.9851411252561141,0.023995042699013938,0.07420178634668276,11.387279264944935,22.869007530572407,1295.505541762765,99.6458613666612,1195.8596803961038,1.731959280431504,0.1332163922014187,1.5987428882300854,1195.8596803961068,1.5987428882300894,68908.61955091954,1.0,290.0,0.0,0.0,1.0,458.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9906417112299465,0.003787999555574878,0.9962120004444253,0.009358288770053475,0.9909735745760907,0.9906417112299465,0.9903931741040836,0.9885376836351254,0.9999658821133226,0.9994595608427734,0.9669680547593977,0.9906417112299465,0.872,0.015,0.86,0.02,860.0,20.0,1.5991277E7,3509254.0,412941.0,100.0,27.629233511586477,?,-1.0
census-chborn-40,1,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 5 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.01612012251E7,6737.0,748.0,739.0,9.0,0.0,98.79679144385027,1.2032085561497325,0.0,0.9809234501011634,0.02709710848908119,0.07874304474611496,12.859420402296585,24.268624408388085,1295.505541762765,113.46038505659486,1182.0451567061702,1.731959280431504,0.15168500676015356,1.5802742736713506,1182.045156706174,1.5802742736713558,68112.58990560911,1.0,290.0,0.0,0.0,1.0,458.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9879679144385026,0.0019148120774137034,0.9980851879225863,0.012032085561497326,0.9894219956409841,0.9879679144385026,0.9878466362991583,0.9871431932445267,0.9999318382892803,0.9989411380093092,0.9484205009249961,0.9879679144385026,0.861,0.016,0.86,0.01,860.0,10.0,1.5923132E7,3509254.0,412941.0,100.0,29.38948306595362,?,-1.0
census-chborn-40,1,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 5 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.01612012251E7,6737.0,748.0,740.0,8.0,0.0,98.93048128342247,1.0695187165775402,0.0,0.9830171276127768,0.026132549689959723,0.07868240240969245,12.401671668492188,24.249934426426755,1295.505541762765,108.98607965009316,1186.5194621126718,1.731959280431504,0.14570331504023148,1.5862559653912724,1186.5194621126766,1.5862559653912789,68370.41129892608,1.0,290.0,0.0,0.0,1.0,458.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9893048128342246,0.00388582138940819,0.9961141786105918,0.0106951871657754,0.9897109483134645,0.9893048128342246,0.9890839345839177,0.9871596891345729,0.999932812615155,0.9986393475026191,0.9564040169376962,0.9893048128342246,0.746,0.016,0.74,0.01,740.0,10.0,1.4871409E7,3509254.0,412941.0,100.0,28.5650623885918,?,-1.0
census-chborn-40,1,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 5 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.01612012251E7,6737.0,748.0,743.0,5.0,0.0,99.33155080213903,0.6684491978609626,0.0,0.9894050391220345,0.025399569029483815,0.07470821550496783,12.053822507257482,23.025089113034745,1295.505541762765,104.18305325656993,1191.322488506195,1.731959280431504,0.13928215676012023,1.5926771236713837,1191.3224885061989,1.5926771236713888,68647.17447095194,1.0,290.0,0.0,0.0,1.0,458.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9933155080213903,0.0015235247420804573,0.9984764752579196,0.0066844919786096255,0.9937083102508733,0.9933155080213903,0.9932072949772837,0.9924917441977891,0.999998122333714,0.9999638676109265,0.9744204720969984,0.9933155080213903,0.937,0.014,0.9,0.01,900.0,10.0,1.562249E7,3509254.0,412941.0,100.0,28.587344028520523,?,-1.0
census-chborn-40,1,10,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 5 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.01612012251E7,6737.0,748.0,741.0,7.0,0.0,99.06417112299465,0.9358288770053476,0.0,0.9851651636336849,0.0247550213050085,0.07455400942337467,11.738931613024386,22.957737841897522,1298.7264721285403,101.89577310830829,1196.830699020232,1.736265337070241,0.13622429559934263,1.6000410414708985,1196.8306990202389,1.6000410414709076,68983.56510647565,1.0,290.0,0.0,0.0,1.0,458.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9906417112299465,0.0037697547097438255,0.9962302452902563,0.009358288770053475,0.9909736753726524,0.9906417112299465,0.9902002395003683,0.9884945946056916,0.9999578023461896,0.9994744156936337,0.9562792432044936,0.9906417112299465,0.965,0.015,0.94,0.01,940.0,10.0,1.5745209E7,3509254.0,412941.0,100.0,28.275401069518725,?,-1.0
