Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureOutOfBagError
census-chborn,1,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 5 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.0161201224E7,6736.0,749.0,706.0,43.0,0.0,94.25901201602136,5.740987983978638,0.0,0.9073462483386362,0.0515230866973315,0.1316232598509507,24.433390275182084,40.53305931434301,1300.0933633458096,269.4602117279679,1030.6331516178418,1.7357721807020154,0.35975996225362866,1.376012218448387,1032.4752322365862,1.3784716051222778,59508.48397622576,1.0,291.0,0.0,0.0,1.0,458.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9425901201602136,0.027669960676936396,0.9723300393230635,0.05740987983978638,0.9469160345662347,0.9425901201602136,0.9313753292453008,0.9216530431830796,0.9960557174647721,0.963054873688402,0.6834771906439066,0.9425901201602136,0.998,0.02,0.97,0.02,970.0,20.0,3.9222385E7,3508734.0,413455.0,99.59946595460615,37.38317757009336,?,-1.0
census-chborn,1,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 5 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.0161201224E7,6736.0,749.0,694.0,55.0,0.0,92.65687583444593,7.343124165554072,0.0,0.8803736743678201,0.05185266500843689,0.1332811974216073,24.591700498171008,41.047404372450806,1298.6354393475049,266.9512504241346,1031.6841889233701,1.7338256867122896,0.3564102141844254,1.377415472527864,1032.62992401202,1.3786781361976235,59509.973126436045,1.0,291.0,0.002183406113537118,1.0,0.9978165938864629,457.0,0.0,0.0,0.9965753424657534,1.0,0.9982847341337907,0.9971957750464115,1.0,1.0,0.9265687583444593,0.04088769556618422,0.9591123044338157,0.07343124165554073,0.9192819027987381,0.9265687583444593,0.913805813323636,0.8950308905032816,0.9966552781149749,0.9579674657038947,0.6463313203345616,0.9265687583444593,1.122,0.019,1.08,0.02,1080.0,20.0,3.931602E7,3508734.0,413455.0,100.0,37.07165109034258,?,-1.0
census-chborn,1,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 5 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.0161201224E7,6736.0,749.0,701.0,48.0,0.0,93.59145527369826,6.408544726301735,0.0,0.8958124438519719,0.049547605242801496,0.13124022365853066,23.498500382464965,40.41883352384447,1298.6354393475049,263.7603462435054,1034.8750931039995,1.7338256867122896,0.35214999498465344,1.381675691727636,1036.7105681851333,1.38412625925919,59745.138716192574,1.0,291.0,0.004366812227074236,2.0,0.9956331877729258,456.0,0.0,0.0,0.9931740614334471,1.0,0.9965753424657535,0.9944028644359219,1.0,1.0,0.9359145527369827,0.037811835858395614,0.9621881641416041,0.06408544726301736,0.9269621002434845,0.9359145527369827,0.9232008305357823,0.9057336719243796,0.9956196804356346,0.9603030602623298,0.6678305589689788,0.9359145527369827,1.083,0.019,1.02,0.02,1020.0,20.0,3.8635399E7,3508734.0,413455.0,99.73297730307075,36.20382732532255,?,-1.0
census-chborn,1,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 5 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.0161201224E7,6736.0,749.0,699.0,50.0,0.0,93.32443257676903,6.675567423230975,0.0,0.8911017478969115,0.05042111365570597,0.13146408278492402,23.912771418857876,40.48777675260662,1298.6354393475049,250.8662626428849,1047.76917670462,1.7338256867122896,0.3349349300973096,1.3988907566149797,1047.8952517898992,1.3990590811614143,60389.7067315773,1.0,291.0,0.002183406113537118,1.0,0.9978165938864629,457.0,0.0,0.0,0.9965753424657534,1.0,0.9982847341337907,0.9971957750464115,1.0,1.0,0.9332443257676902,0.04135149237402069,0.9586485076259793,0.06675567423230974,0.9295215736383248,0.9332443257676902,0.9210986885631584,0.903326682058626,0.9970384440423938,0.9672274301917819,0.6621254050571945,0.9332443257676902,0.96,0.018,0.91,0.02,910.0,20.0,3.8053398E7,3508734.0,413455.0,100.0,36.092567868268745,?,-1.0
census-chborn,1,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 5 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.0161201224E7,6736.0,749.0,698.0,51.0,0.0,93.1909212283044,6.809078771695594,0.0,0.8900688095176424,0.05312602709153166,0.13415531176653764,25.1988961659099,41.322679345531114,1298.397353577193,273.6998992256399,1024.697454351553,1.7335078151898438,0.3654204262024565,1.3680873889873872,1027.5068880975152,1.3718383018658413,59213.530192187674,1.0,290.0,0.0,0.0,1.0,459.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.931909212283044,0.031465304130853175,0.9685346958691469,0.06809078771695594,0.9243779403346591,0.931909212283044,0.9209240495856711,0.9048649893413429,0.9961755817264631,0.9610532129667053,0.6372105607155487,0.931909212283044,1.043,0.026,0.98,0.03,980.0,30.0,3.8458489E7,3508734.0,413455.0,99.59946595460615,37.38317757009338,?,-1.0
census-chborn,1,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 5 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.0161201224E7,6737.0,748.0,700.0,48.0,0.0,93.58288770053476,6.4171122994652405,0.0,0.8958449974906952,0.050789578004956086,0.1324203395149421,24.103108118866018,40.811978938341944,1295.505541762765,264.5040683936599,1031.001473369105,1.731959280431504,0.3536150646974063,1.3783442157340977,1034.750539014521,1.3833563355809106,59625.081764979856,1.0,290.0,0.004366812227074236,2.0,0.9956331877729258,456.0,0.0,0.0,0.9931506849315068,1.0,0.9965635738831615,0.9943911616548192,1.0,1.0,0.9358288770053476,0.03497004790434159,0.9650299520956583,0.06417112299465241,0.9287578766046373,0.9358288770053476,0.9236866663761868,0.9071941379413675,0.9962036534985189,0.9618924715336343,0.6532583412412518,0.9358288770053476,1.072,0.019,1.04,0.02,1040.0,20.0,3.9062822E7,3509251.0,412938.0,99.59893048128342,36.45276292335112,?,-1.0
census-chborn,1,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 5 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.0161201224E7,6737.0,748.0,697.0,51.0,0.0,93.18181818181819,6.818181818181818,0.0,0.8892167226178169,0.05439753894088073,0.1362356356797755,25.81533090045225,41.987854089342804,1295.505541762765,289.6913656740915,1005.8141760886735,1.731959280431504,0.3872879220241865,1.3446713584073176,1011.7491800071615,1.3526058556245475,58299.682202660595,1.0,290.0,0.004366812227074236,2.0,0.9956331877729258,456.0,0.0,0.0,0.9931506849315068,1.0,0.9965635738831615,0.9943911616548192,1.0,1.0,0.9318181818181818,0.03429207595000002,0.9657079240499999,0.06818181818181818,0.9288951518074373,0.9318181818181818,0.9191565166665011,0.9051344931507188,0.9951593821969226,0.9582194701881603,0.6361588608492525,0.9318181818181818,1.043,0.019,0.98,0.02,980.0,20.0,3.9303437E7,3509251.0,412938.0,99.59893048128342,38.48039215686262,?,-1.0
census-chborn,1,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 5 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.0161201224E7,6737.0,748.0,701.0,47.0,0.0,93.71657754010695,6.283422459893048,0.0,0.8987319894687721,0.051423593617591246,0.13153454539150203,24.403991635931337,40.53897698681422,1295.505541762765,265.49008315176974,1030.0154586109952,1.731959280431504,0.35493326624568144,1.3770260141858224,1031.3333180602422,1.3787878583693076,59428.17239298578,1.0,290.0,0.0,0.0,1.0,458.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9371657754010695,0.02516250783630572,0.9748374921636941,0.06283422459893048,0.9208107763183534,0.9371657754010695,0.9233668832665581,0.9111809969099579,0.9964514369707732,0.9517426407080434,0.6206885667014977,0.9371657754010695,1.055,0.024,1.02,0.03,1020.0,30.0,3.8904792E7,3509251.0,412938.0,99.73262032085562,37.38859180035638,?,-1.0
census-chborn,1,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 5 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.0161201224E7,6737.0,748.0,699.0,49.0,0.0,93.44919786096257,6.550802139037433,0.0,0.8938444739867983,0.0513353286425504,0.12888100614865639,24.362103903839703,39.72115558499807,1295.505541762765,257.83815358693147,1037.6673881758336,1.731959280431504,0.344703413886272,1.3872558665452321,1038.120159512822,1.387861175819281,59819.24827193282,1.0,290.0,0.0,0.0,1.0,458.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9344919786096256,0.03347982042761285,0.9665201795723872,0.06550802139037433,0.9266363959718352,0.9344919786096256,0.9235459634206227,0.9072438792208413,0.9975138656146699,0.9691885138617365,0.6700113745852991,0.9344919786096256,1.179,0.021,1.15,0.02,1150.0,20.0,3.895933E7,3509251.0,412938.0,99.8663101604278,37.83422459893039,?,-1.0
census-chborn,1,10,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 5 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.0161201224E7,6737.0,748.0,709.0,39.0,0.0,94.78609625668449,5.213903743315508,0.0,0.9158044210471629,0.049341725044558575,0.12666903030237942,23.39804635310642,39.00574111119037,1298.7264721285403,265.23065692715295,1033.4958152013874,1.736265337070241,0.35458643974218307,1.381678897328058,1042.5224694761678,1.3937466169467483,60089.46520752377,1.0,290.0,0.0,0.0,1.0,458.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9478609625668449,0.027381981139182145,0.9726180188608179,0.05213903743315508,0.9505349047049289,0.9478609625668449,0.935817615374983,0.9260914943119766,0.9959627783016768,0.9677448657231394,0.7062182408717064,0.9478609625668449,1.128,0.019,1.06,0.02,1060.0,20.0,3.8669628E7,3509251.0,412938.0,99.73262032085562,36.83155080213893,?,-1.0
